run,universe,direction,horizon_h,comparison,diff_gross,t_gross,p_gross,diff_net,se,t_stat_clustered,p_value_raw,ci_lo,ci_hi,diff_neutral_gross,t_neutral_gross,ci_lo_neutral,ci_hi_neutral,diff_neutral_net,t_neutral_net,n_days,n_obs,p_value_bonferroni
R4,live_diag,long,48,Q5|L3 - Q1|L3,-0.0012662544452913883,-0.7376200882892607,0.4609826963735036,-0.0006438036891485853,0.0017386599804388176,-0.3702872881367504,0.7112762970017737,-0.00405719734417055,0.002769589965873379,-0.0017411476678268203,-1.1553828924154024,-0.004699701016480246,0.0012174056808266053,-0.001127783697774539,-0.7367668125289853,728,49896,1.0
R4,live_diag,short,48,Q5|L3 - Q1|L3,0.0012662544452913883,0.7376200882892607,0.4609826963735036,0.0006438036891485636,0.0017386599804388183,0.3702872881367378,0.7112762970017831,-0.0027695899658734023,0.004057197344170529,0.0017411476678268203,1.1553828924154024,-0.0012174056808266053,0.004699701016480246,0.0011277836977744862,0.7367668125289508,728,49896,1.0
R5,live_diag,long,48,Q5 - Q1,0.0022490960505457073,1.7986594266305693,0.07248610957866328,0.0032587779027400702,0.0012697645268151426,2.5664427017140135,0.010473895244870772,0.0007659350076566558,0.005751620797823485,0.002241486644259806,1.7942118388613308,-0.00021114410967982677,0.004694117398199439,0.003254230508582019,2.5689399390854213,728,116233,1.0
R5,live_diag,short,48,Q5 - Q1,-0.0022490960505457073,-1.7986594266305693,0.07248610957866328,-0.0032587779027400776,0.0012697645268151417,-2.566442701714021,0.010473895244870548,-0.00575162079782349,-0.0007659350076566649,-0.002241486644259806,-1.7942118388613308,-0.004694117398199439,0.00021114410967982677,-0.0032542305085819703,-2.5689399390853835,728,116233,1.0
R6,live_diag,long,48,Q5|L1 - Q1|L1,0.0008450721619961315,0.36585304584731154,0.7145808717532801,-0.001664310718847702,0.0023291923805165947,-0.7145441195709958,0.47512015216910686,-0.006237056731540907,0.0029084352938455026,-0.00039740185100186877,-0.26169240422466583,-0.0033787212129035562,0.002583917510899819,-0.0029661169780184414,-1.9371116362515104,728,22527,1.0
R6,live_diag,short,48,Q5|L1 - Q1|L1,-0.0008450721619961315,-0.36585304584731154,0.7145808717532801,0.001664310718847676,0.002329192380516598,0.7145441195709836,0.47512015216911435,-0.0029084352938455356,0.006237056731540888,0.00039740185100186877,0.26169240422466583,-0.002583917510899819,0.0033787212129035562,0.002966116978018434,1.937111636251505,728,22527,1.0
R6,live_diag,long,48,Q5|L2 - Q1|L2,0.007382367041565766,4.053406761136239,5.590438605884093e-05,0.0032466796000339684,0.0018281564597868263,1.775930929025927,0.07616251512808282,-0.0003424164454440045,0.006835775645511941,0.006930299616271784,4.821692660190143,0.004108525675677712,0.009752073556865856,0.0027534641986881147,1.9043701362873395,728,35344,1.0
R6,live_diag,short,48,Q5|L2 - Q1|L2,-0.007382367041565766,-4.053406761136239,5.590438605884093e-05,-0.003246679600033979,0.0018281564597868263,-1.7759309290259329,0.07616251512808195,-0.006835775645511952,0.0003424164454439941,-0.006930299616271784,-4.821692660190143,-0.009752073556865856,-0.004108525675677712,-0.0027534641986881707,-1.9043701362873788,728,35344,1.0
R6,live_diag,long,48,Q5|L3 - Q1|L3,0.009622286364347917,4.554900711568565,6.142154374229312e-06,0.003104508318755332,0.0021208445653332323,1.4638075649205082,0.14367876903227125,-0.001059202506847936,0.007268219144358601,0.00788292594983628,4.106132792533988,0.004113942861894164,0.011651909037778395,0.001398727224132688,0.7251101216398105,728,42833,1.0
R6,live_diag,short,48,Q5|L3 - Q1|L3,-0.009622286364347917,-4.554900711568565,6.142154374229312e-06,-0.0031045083187553053,0.0021208445653332323,-1.4638075649204954,0.1436787690322749,-0.007268219144358573,0.0010592025068479629,-0.00788292594983628,-4.106132792533988,-0.011651909037778395,-0.004113942861894164,-0.0013987272241326803,-0.7251101216398066,728,42833,1.0
